order_id,voucher_amount,date_time,eta_seconds,food_price,cust_id,rating,delivery_fee,resto_id,status,random_id
FOOD-10455,0,2018-08-12T20:35:08.001006,1800,18900,1089034,5,4000,742638033,Completed,0.5111491705
FOOD-10985,0,2018-09-23T17:44:12.243273,2173,149000,180146,5,11000,742767245,Completed,0.8329363421
FOOD-10911,0,2018-09-19T18:08:09.387991,1418,43800,366528,,9000,742618303,Completed,0.8280262355
FOOD-10932,0,2018-09-21T01:24:35.272499,1903,39900,511038,5,14000,742541172,Completed,0.2393774883
FOOD-10961,0,2018-09-22T17:57:45.523161,1716,77700,1220358,,4000,742604875,Completed,0.9955870224
FOOD-10004,0,2018-07-01T14:24:06.719768,2344,138800,466885,5,10000,225641128,Completed,0.3419214845
FOOD-10953,0,2018-09-22T13:37:33.712943,1449,58700,463180,5,4000,742550960,Completed,0.2323219782
FOOD-10464,0,2018-08-13T20:37:56.355441,2041,74200,1472725,5,13000,742534099,Completed,0.16201347
FOOD-10342,10000,2018-08-03T13:58:54.286742,1265,37500,304856,5,0,742670531,Completed,0.3732607037
FOOD-10942,0,2018-09-21T22:51:22.145050,1580,80800,511038,,11000,742541172,Completed,0.2170712713
FOOD-10386,0,2018-08-06T14:57:55.985171,2673,437800,1163202,5,12000,742554110,Completed,0.4859390638
FOOD-10909,5000,2018-09-19T13:35:35.612145,2149,79200,1089034,5,2000,742594125,Completed,0.4385266334
FOOD-10008,3000,2018-07-01T17:27:58.151546,1416,56700,1347550,5,7000,742544599,Completed,0.7996886172
FOOD-10141,0,2018-07-14T17:57:45.108952,2514,339800,366528,5,13000,742538990,Completed,0.4366475997
FOOD-10671,0,2018-09-02T15:26:19.725547,1939,45600,1319474,5,4000,742630797,Completed,0.9007568858
FOOD-10436,0,2018-08-11T18:20:00.835032,1760,74800,1319474,5,10000,742531018,Completed,0.04906639058
FOOD-10978,4000,2018-09-23T14:18:37.731404,1204,33100,1163202,5,0,742531705,Completed,0.5963028426
FOOD-10594,0,2018-08-26T17:48:59.683373,603,56100,366721,5,8000,742531121,Completed,0.7852338746
FOOD-10360,0,2018-08-04T16:08:26.196958,983,64800,1191779,,9000,742618679,Completed,0.5162394265
FOOD-10665,0,2018-09-02T01:48:45.074177,1930,49100,316834,5,12000,742676756,Completed,0.4768401752
FOOD-10888,0,2018-09-18T11:14:27.408029,632,44600,1383625,,10000,742756630,Cancelled,0.208879873
FOOD-10243,0,2018-07-24T11:05:19.481372,1353,131000,472466,5,5000,742531805,Completed,0.2593086213
FOOD-10394,0,2018-08-07T14:48:42.559078,331,29700,1364703,,16000,742656058,Cancelled,0.6406759596
FOOD-10216,0,2018-07-21T23:41:55.508813,2016,51000,380092,5,12000,742702327,Completed,0.3021374791
FOOD-10032,0,2018-07-04T13:05:10.988492,1522,34900,1089034,5,8000,200005639,Completed,0.9689279676
FOOD-10384,0,2018-08-06T10:02:43.882903,2163,50400,1472725,5,4000,742759541,Completed,0.3521077876
FOOD-10281,0,2018-07-28T12:41:57.633675,1827,55100,357568,5,9000,742676336,Completed,0.6967363067
FOOD-10555,0,2018-08-23T19:14:28.409587,1826,34500,1230166,5,5000,742616723,Completed,0.794798327
FOOD-10398,0,2018-08-07T15:17:45.918257,1837,29400,1364703,,16000,742656058,Completed,0.7098195846
FOOD-10731,0,2018-09-08T12:04:40.186645,525,36200,466885,,22000,742731698,Cancelled,0.233675319
FOOD-10230,0,2018-07-22T19:04:04.209937,161,40000,1364703,,19000,742539196,Cancelled,0.7439300203
FOOD-10410,10000,2018-08-09T20:06:09.394736,1074,32800,588886,5,0,742715861,Completed,0.4551081085
FOOD-10688,0,2018-09-04T11:03:24.603571,1762,29400,463180,,4000,742550960,Completed,0.9388707524
FOOD-10001,0,2018-07-01T11:36:10.581264,2328,76500,1194303,5,5000,742669465,Completed,0.5304784859
FOOD-10584,0,2018-08-26T00:58:36.315973,9,38000,1351793,,7000,742721020,Cancelled,0.8405972412
FOOD-10337,5000,2018-08-02T20:05:11.950906,983,31800,366721,5,0,742537745,Completed,0.9072018334
FOOD-11073,0,2018-09-30T19:16:45.297306,2323,56100,854741,,2000,742766593,Completed,0.4472346309
FOOD-11006,0,2018-09-25T14:50:12.557636,1231,45000,1045751,,7000,742538372,Completed,0.8786903176
FOOD-10893,0,2018-09-18T12:45:39.858368,67,121300,361927,,11000,742530083,Cancelled,0.2293488121
FOOD-10154,0,2018-07-15T21:33:14.353496,2238,67800,1548571,5,13000,742645112,Completed,0.2844127012
FOOD-10218,0,2018-07-22T06:17:00.272726,3333,112000,1542763,5,4000,742675089,Completed,0.9513890297
FOOD-10752,0,2018-09-09T17:48:27.045989,1183,160600,845548,5,9000,742604626,Completed,0.6762188459
FOOD-10558,0,2018-08-23T20:06:40.774889,2220,64100,1194303,,12000,200002164,Completed,0.1824118543
FOOD-10287,0,2018-07-28T19:05:22.766498,2316,100100,70701,5,8000,742560026,Completed,0.2626014125
FOOD-10292,10000,2018-07-29T00:59:09.189530,1458,53300,316834,5,2000,742676756,Completed,0.6031629148
FOOD-10674,0,2018-09-02T18:54:39.718220,50,45300,1484937,,20000,742596825,Cancelled,0.4907888579
